,Value,Mean_Value(10)
311,-45.475883,-45.32905059814453
312,-45.477177,-45.33347225189209
313,-45.47841,-45.337798805236815
314,-45.479633,-45.34203308105469
315,-45.48081,-45.34617576599121
316,-45.481976,-45.350229034423826
317,-45.483112,-45.35419456481934
318,-45.48424,-45.35807445526123
319,-45.485344,-45.36187065124512
320,-45.486412,-45.36558403015137
321,-45.487457,-45.3692168045044
322,-45.48847,-45.37277050018311
323,-45.48948,-45.37624664306641
324,-45.49047,-45.379646911621094
325,-45.491413,-45.38297286987304
326,-45.492363,-45.386226196289066
327,-45.493263,-45.389408111572266
328,-45.494144,-45.39252040863037
329,-45.495045,-45.39556484222412
330,-45.49592,-45.3985428237915
331,-45.496727,-45.401455345153806
332,-45.49756,-45.40430393218994
333,-45.49836,-45.40709033966064
334,-45.499126,-45.40981544494629
335,-45.499916,-45.412481231689455
336,-45.500652,-45.415088691711425
337,-45.501392,-45.41763931274414
338,-45.502113,-45.42013439178467
339,-45.5028,-45.42257488250733
340,-45.503494,-45.42496242523193
341,-45.504158,-45.427297821044924
342,-45.50484,-45.42958324432373
343,-45.50545,-45.43181842803955
344,-45.506065,-45.434005165100096
345,-45.506683,-45.43614456176758
346,-45.507263,-45.43823783874512
347,-45.50785,-45.44028587341309
348,-45.508408,-45.44228950500488
349,-45.509007,-45.44425048828125
350,-45.50954,-45.44616954803467
351,-45.51007,-45.44804744720459
352,-45.51059,-45.449885025024415
353,-45.51111,-45.451683616638185
354,-45.511578,-45.45344360351562
355,-45.512093,-45.45516647338867
356,-45.512566,-45.45685260772705
357,-45.513023,-45.458503036499025
358,-45.51351,-45.460118980407714
359,-45.51394,-45.46170021057129
360,-45.514374,-45.46324813842774
361,-45.514812,-45.46476352691651
362,-45.515232,-45.46624725341797
363,-45.515644,-45.46769962310791
364,-45.51604,-45.46912124633789
365,-45.51643,-45.47051326751709
366,-45.516827,-45.47187622070312
367,-45.51722,-45.47321071624756
368,-45.517597,-45.474517288208006
369,-45.517944,-45.47579650878906
370,-45.518295,-45.47704872131348
371,-45.51865,-45.4782748413086
372,-45.519,-45.47947566986084
373,-45.519325,-45.480651512146
374,-45.519653,-45.481802711486814
375,-45.51998,-45.48292995452881
376,-45.5203,-45.484033851623536
377,-45.52057,-45.485113830566405
378,-45.520905,-45.48617198944092
379,-45.521187,-45.487207641601564
380,-45.521484,-45.48822151184082
381,-45.521736,-45.48921424865723
382,-45.522026,-45.4901863861084
383,-45.52233,-45.49113838195801
384,-45.52259,-45.49207038879395
385,-45.52285,-45.4929825592041
386,-45.523083,-45.49387554168701
387,-45.52335,-45.4947501373291
388,-45.523582,-45.49560607910156
389,-45.523834,-45.49644416809082
390,-45.524067,-45.49726448059082
391,-45.524292,-45.49806777954102
392,-45.52451,-45.49885372161865
393,-45.52473,-45.499623184204104
394,-45.524963,-45.500376319885255
395,-45.52518,-45.50111354827881
396,-45.525383,-45.50183498382568
397,-45.525566,-45.502540855407716
398,-45.52578,-45.50323223114014
399,-45.52597,-45.50390811920166
400,-45.526142,-45.504569625854494
401,-45.526344,-45.50521755218506
402,-45.526535,-45.50585147857666
403,-45.526703,-45.50647190093994
404,-45.526875,-45.507078857421874
405,-45.52705,-45.50767265319824
406,-45.527225,-45.5082536315918
407,-45.52738,-45.508822174072264
408,-45.527534,-45.509378356933595
409,-45.527687,-45.509922676086425
410,-45.52785,-45.51045532226563
411,-45.528004,-45.510976524353026
412,-45.528156,-45.51148632049561
413,-45.5283,-45.511985244750974
414,-45.528423,-45.51247314453125
415,-45.528553,-45.512950592041015
416,-45.52868,-45.513417625427245
417,-45.528828,-45.51387477874756
418,-45.52896,-45.51432197570801
419,-45.529083,-45.514759368896485
420,-45.529194,-45.515187187194826
421,-45.52931,-45.515605697631834
422,-45.529457,-45.51601558685303
423,-45.52957,-45.516416511535645
424,-45.52967,-45.51680850982666
425,-45.529774,-45.51719211578369
426,-45.52988,-45.517567291259766
427,-45.53,-45.51793464660645
428,-45.530098,-45.518294181823734
429,-45.5302,-45.51864574432373
430,-45.53029,-45.518989448547366
431,-45.530384,-45.51932601928711
432,-45.530487,-45.519655303955076
433,-45.53057,-45.51997741699219
434,-45.53067,-45.52029285430908
435,-45.53075,-45.520601196289064
436,-45.530834,-45.52090301513672
437,-45.530926,-45.52119834899902
438,-45.531013,-45.521487350463865
439,-45.531105,-45.52177040100098
440,-45.531166,-45.52204711914062
441,-45.531254,-45.522318077087405
442,-45.53132,-45.52258285522461
443,-45.531403,-45.52284236907959
444,-45.531475,-45.52309646606445
445,-45.53153,-45.523344917297365
446,-45.531605,-45.52358833312988
447,-45.531654,-45.523826370239256
448,-45.53174,-45.52405967712402
449,-45.531807,-45.52428768157959
450,-45.53188,-45.524511070251464
451,-45.531933,-45.52472969055176
452,-45.531982,-45.524943618774415
453,-45.532036,-45.525152893066405
454,-45.532093,-45.525358047485355
455,-45.532158,-45.525558700561525
456,-45.53222,-45.52575523376465
