,Value,Mean_Value(10)
121,6.8654695,6.727014756202697
122,6.8654876,6.739041681289673
123,6.865505,6.750025305747986
124,6.8655214,6.760054445266723
125,6.8655367,6.769210786819458
126,6.86555,6.7775693607330325
127,6.8655624,6.785199031829834
128,6.865575,6.792162952423095
129,6.8655853,6.798518958091736
130,6.8655953,6.804320011138916
131,6.8656034,6.809614543914795
132,6.865612,6.814446859359741
133,6.8656197,6.818857436180115
134,6.8656263,6.8228832578659055
135,6.865634,6.8265581130981445
136,6.86564,6.829912810325623
137,6.865645,6.832975478172302
138,6.865651,6.835771803855896
139,6.8656554,6.8383251953125
140,6.86566,6.840657005310058
141,6.865664,6.84278669834137
142,6.865668,6.844732041358948
143,6.8656716,6.846509218215942
144,6.8656745,6.8481329870223995
145,6.865678,6.849616799354553
146,6.8656807,6.85097291469574
147,6.865683,6.852212510108948
148,6.8656855,6.853345766067505
149,6.8656874,6.854381966590881
150,6.8656898,6.855329580307007
151,6.865691,6.856196322441101
152,6.865693,6.856989231109619
153,6.865695,6.857714724540711
154,6.865696,6.85837863445282
155,6.8656974,6.858986291885376
156,6.865699,6.859542570114136
157,6.8657,6.860051894187928
158,6.865701,6.860518321990967
159,6.865702,6.860945539474487
160,6.8657026,6.86133689403534
161,6.8657036,6.861695485115051
162,6.8657045,6.862024102210999
163,6.865705,6.862325310707092
164,6.865706,6.862601432800293
165,6.8657064,6.862854604721069
166,6.8657064,6.863086771965027
167,6.8657074,6.863299732208252
168,6.8657084,6.863495101928711
169,6.8657084,6.863674354553223
170,6.865709,6.863838858604431
171,6.86571,6.863989844322204
172,6.86571,6.864128446578979
173,6.86571,6.864255700111389
174,6.8657103,6.86437255859375
175,6.8657103,6.864479885101319
176,6.8657103,6.864578475952149
177,6.865711,6.864669065475464
178,6.865711,6.8647523021698
179,6.865711,6.86482880115509
180,6.865711,6.864899106025696
181,6.865712,6.864963750839234
182,6.865712,6.865023183822632
183,6.865712,6.865077834129334
184,6.865712,6.865128092765808
185,6.8657126,6.865174326896668
186,6.8657126,6.865216860771179
187,6.8657126,6.865255999565124
188,6.8657126,6.865292000770569
189,6.8657126,6.865325140953064
190,6.8657126,6.865355644226074
191,6.8657126,6.865383720397949
192,6.8657126,6.8654095697402955
193,6.8657126,6.86543336391449
194,6.8657126,6.865455265045166
195,6.8657136,6.865475454330444
196,6.8657136,6.865494046211243
197,6.8657136,6.865511183738708
198,6.8657136,6.865526962280273
199,6.8657136,6.8655414962768555
200,6.8657136,6.865554885864258
201,6.8657136,6.865567231178284
202,6.8657136,6.8655786085128785
203,6.8657136,6.8655890941619875
204,6.8657136,6.865598754882813
205,6.8657136,6.865607657432556
206,6.8657136,6.865615873336792
207,6.8657136,6.8656234502792355
208,6.8657136,6.865630431175232
209,6.8657136,6.865636873245239
210,6.8657136,6.865642809867859
211,6.8657136,6.865648288726806
212,6.8657136,6.865653338432312
213,6.8657136,6.865658001899719
214,6.8657136,6.865662298202515
215,6.8657136,6.865666265487671
216,6.8657136,6.865669922828674
217,6.8657136,6.865673294067383
218,6.8657136,6.865676407814026
219,6.8657136,6.865679278373718
220,6.8657136,6.865681934356689
221,6.8657136,6.86568437576294
222,6.8657136,6.86568663597107
223,6.8657136,6.865688719749451
224,6.8657136,6.865690641403198
225,6.8657136,6.865692410469055
226,6.8657136,6.865694046020508
227,6.8657136,6.865695557594299
