,Value,Mean_Value(10)
188,-8.961962695624502,-8.659223667522589
189,-8.96597876990565,-8.667746641311401
190,-8.966410150009983,-8.675972044728434
191,-8.969756982577874,-8.68416000804962
192,-8.971551611172126,-8.692218501959365
193,-8.975103272264377,-8.700204178002696
194,-8.977383998103036,-8.708151752508487
195,-8.978660705371405,-8.715922060640475
196,-8.982166814347044,-8.723515011918431
197,-8.982734967801518,-8.731054442579374
198,-8.985931727985223,-8.738534630528655
199,-8.987881615976937,-8.74582950443353
200,-8.989434053951179,-8.753028858513877
201,-8.992611392085163,-8.760038576948757
202,-8.995558083628694,-8.766887836492861
203,-8.997836313460962,-8.773637402421748
204,-8.99932393326927,-8.780199451970597
205,-9.001512930873105,-8.78660131250936
206,-9.00392812905601,-8.792904161154652
207,-9.006961907822483,-8.799085526438947
208,-9.0089356248752,-8.80519697234425
209,-9.01054929300619,-8.811200974534495
210,-9.013507060578075,-8.81712185191194
211,-9.016385111945889,-8.823005123833116
212,-9.018824256190095,-8.828757748539836
213,-9.02052466054313,-8.83436960160618
214,-9.022330209165336,-8.839912201415235
215,-9.023900197184505,-8.845302997235672
216,-9.025759721944887,-8.85063377736247
217,-9.027300381888976,-8.855793618491663
218,-9.029198438748002,-8.860763583734775
219,-9.030953443240815,-8.865663170957717
220,-9.032389290416583,-8.870445505355494
221,-9.033936268376847,-8.875119329775485
222,-9.036384850645216,-8.879754803057295
223,-9.039139817697933,-8.884370078967402
224,-9.041367015899562,-8.8889067975614
225,-9.043956310528156,-8.893379183150708
226,-9.046550285168731,-8.897765899560703
227,-9.048684994633586,-8.902035720971446
228,-9.050406927041733,-8.90623809404952
229,-9.05237315607528,-8.910328146840056
230,-9.054832346370807,-8.914351713820388
231,-9.056698852149063,-8.918294877024886
232,-9.058106677753095,-8.922095459764378
233,-9.06076929256939,-8.925826144964931
234,-9.062564857166034,-8.929504885152506
235,-9.064095650084862,-8.933129907772564
236,-9.065413541458668,-8.936687110779003
237,-9.067186758998101,-8.940163951349716
238,-9.068514712397663,-8.943593341278953
239,-9.070372365153256,-8.946945603050745
240,-9.072005650334464,-8.950245442838332
241,-9.073472054088459,-8.953485720113443
242,-9.07597650399985,-8.956650346749887
243,-9.077912312955522,-8.959777653410793
244,-9.079525357084915,-8.962843002953088
245,-9.081355085769019,-8.965858658568166
246,-9.084227521122454,-8.968859419265112
247,-9.085752834527257,-8.971803869472906
248,-9.08752667606829,-8.97463412543836
249,-9.088419388353635,-8.977406931916747
250,-9.090052244533746,-8.980147588272825
251,-9.090887178171176,-8.982840263001073
252,-9.092707839332068,-8.985531352570263
253,-9.09379422611322,-8.98818133603422
254,-9.094884161903455,-8.990800863930213
255,-9.096289881502097,-8.993394043358752
256,-9.09789535961212,-8.995942702613318
257,-9.099861725146015,-8.998475994463545
258,-9.100842967657998,-9.000969619702227
259,-9.102813194201778,-9.003453208460213
260,-9.104499363518372,-9.005894366279577
261,-9.10571039461861,-9.008308057498628
262,-9.106595657884885,-9.010672207280852
263,-9.1078853131864,-9.012985287992338
264,-9.109493170302517,-9.015274217111996
265,-9.111163466578473,-9.01755112172087
266,-9.112379450691394,-9.019819257157298
267,-9.114087343063598,-9.022048322683707
268,-9.115574338870307,-9.024258739922375
269,-9.116854478147463,-9.026452112557408
270,-9.117828330140522,-9.028607902551231
271,-9.119409823189148,-9.030728524985024
272,-9.120631306316145,-9.032823268512567
273,-9.12193390965081,-9.03488962932745
274,-9.122654943496656,-9.036918668606791
275,-9.123989448912988,-9.038935245794228
276,-9.125264596177367,-9.040926950277994
277,-9.126583267553166,-9.042908546325878
278,-9.127494309885433,-9.044877676381851
279,-9.128114996474391,-9.046823975389378
280,-9.129289367480782,-9.048749940134847
281,-9.130435970416084,-9.050667474618736
282,-9.131353954766123,-9.05255778859294
283,-9.132488994171826,-9.054428843342839
284,-9.133733799358527,-9.056265787825417
285,-9.134734385920028,-9.058081057612508
286,-9.13556134403704,-9.059871301425533
287,-9.136265685840154,-9.06162815998309
288,-9.137185932195987,-9.063380392348805
289,-9.138172010720346,-9.06510232475695
290,-9.138960904739916,-9.06682783230425
291,-9.139557411266972,-9.068525836591142
292,-9.14060499294878,-9.070216370408907
293,-9.140363738331171,-9.071868975069576
294,-9.140922531761682,-9.073504360406163
295,-9.141600821498104,-9.07513376156743
296,-9.142376728484425,-9.076735860708803
297,-9.14305166421226,-9.07833902767291
298,-9.143477233301718,-9.079914482726076
299,-9.144029786716255,-9.08147596443347
300,-9.144711625461762,-9.083028740148574
301,-9.145229936788638,-9.084554925595608
302,-9.145829602323783,-9.08605764078256
303,-9.14667013247554,-9.087545978972706
304,-9.147621422910841,-9.089028953869121
305,-9.148245892509486,-9.090496283485486
306,-9.148802160683532,-9.09194502380176
307,-9.149635670817318,-9.09337176143171
308,-9.150406858791559,-9.094786473770874
309,-9.151296568069213,-9.096193946521502
310,-9.152002469876322,-9.097578900614486
311,-9.152817415962584,-9.098943223654652
312,-9.153556779855357,-9.100290548891305
313,-9.154240139604758,-9.10162770368192
314,-9.155014135586187,-9.10295454294613
315,-9.155276918258911,-9.104268310156874
316,-9.155480888781074,-9.105565521825236
317,-9.155671170268196,-9.106849229709029
318,-9.156252232755715,-9.108119767649105
319,-9.156684821863143,-9.109377081435328
320,-9.156885467626797,-9.11062204320743
321,-9.157671690139527,-9.111859397425057
322,-9.157994298965406,-9.11307549190826
323,-9.158346391866763,-9.114267557649947
324,-9.15903591363194,-9.115444246627272
325,-9.159240391155402,-9.116597087433544
326,-9.159674306266224,-9.11772832764452
327,-9.160000688351762,-9.1188414845817
328,-9.16063861298485,-9.119943801441131
329,-9.161351846810728,-9.121033588348485
330,-9.162152830861249,-9.12210679319339
331,-9.16259649599703,-9.12316576963187
332,-9.163052017163164,-9.12421522302597
333,-9.16333858989679,-9.125240915999246
334,-9.163578869511905,-9.126251056122705
335,-9.16412502691007,-9.127251349890955
336,-9.164622746184232,-9.128243441938212
337,-9.16496454305923,-9.129221219778822
338,-9.165463997837836,-9.130190712633224
339,-9.165946809323831,-9.13114645707493
340,-9.16667938719923,-9.132093194443577
341,-9.167235138621956,-9.133030825288913
342,-9.1677364849054,-9.133948425097968
343,-9.168043942192494,-9.134849741390338
344,-9.168325678913737,-9.135737744608626
345,-9.169079745844149,-9.136614991209377
346,-9.169701797436602,-9.13746973397252
347,-9.170178378656649,-9.138313989413813
348,-9.170327827039237,-9.139142000923522
349,-9.170600125736321,-9.139963808297349
350,-9.171210048297723,-9.140775386334989
351,-9.171474858975639,-9.141581263143033
352,-9.171524077101637,-9.14236942552073
353,-9.172071131502097,-9.143152194574618
354,-9.172394676330372,-9.143927299718888
355,-9.172765333279253,-9.144692054236659
356,-9.172933150708866,-9.145442432147627
357,-9.173362619808305,-9.146177441094249
358,-9.173836592896677,-9.146907377346636
359,-9.174155457712972,-9.147620799981748
360,-9.174314188119322,-9.148318948227757
361,-9.174474610155002,-9.149006590383122
362,-9.17484355109949,-9.149689069315267
363,-9.175123903317191,-9.150361455216576
364,-9.175194376497604,-9.151018467278526
365,-9.175632971620407,-9.151663162328946
366,-9.175908687701241,-9.152298454699043
367,-9.17609701918337,-9.152918551460242
368,-9.176610338497467,-9.153528911456512
369,-9.177235939099004,-9.15413272606603
370,-9.177585535993973,-9.154730298124562
371,-9.177987705023526,-9.155316076942906
372,-9.178318581870569,-9.155892949698451
373,-9.178568465260271,-9.156459295254546
374,-9.178860498007875,-9.157021350799658
375,-9.179021412419814,-9.157571670434727
376,-9.179149108496718,-9.15811051555792
377,-9.179277964826591,-9.158637462530654
378,-9.179523548455284,-9.159157754916352
379,-9.179823342222756,-9.159674838373837
380,-9.180097590924834,-9.160182920608277
381,-9.180454583213734,-9.160683106736252
382,-9.180752231975713,-9.16117708950835
383,-9.18104344572122,-9.161662634023843
384,-9.181132677949654,-9.162136622809754
385,-9.181291642356605,-9.16260219537412
386,-9.18150493390263,-9.163061631272775
387,-9.181818494705347,-9.163517159361428
388,-9.182029758246182,-9.16396559762193
389,-9.182197692676093,-9.164405854441489
390,-9.182560783605606,-9.164841853230145
391,-9.182810384244585,-9.16527438295992
392,-9.183041030835039,-9.165698743338783
393,-9.183317775543506,-9.166128283710906
394,-9.183399402752473,-9.166553052420815
395,-9.18367825346633,-9.166973826740497
396,-9.183864517943165,-9.167388704635083
397,-9.184025032604083,-9.167798438319002
398,-9.184322525365666,-9.168206891239642
399,-9.184557149966304,-9.168612164872142
400,-9.184724509144743,-9.169012293708972
401,-9.18486261337329,-9.169408620474819
402,-9.185040239328014,-9.169800726844862
403,-9.185146943601177,-9.170185494956117
404,-9.18526314439865,-9.170561912170994
405,-9.185380641949445,-9.170933259665395
406,-9.185607105779193,-9.171301309116352
407,-9.185870122452513,-9.171663653632702
408,-9.186042268893209,-9.17202000773372
409,-9.186243275407787,-9.172369474807105
410,-9.186356531697722,-9.17271301542532
411,-9.186558630215094,-9.173050427567844
412,-9.186607146339295,-9.173380931232684
413,-9.186715722617251,-9.173705687062808
414,-9.186915871129631,-9.174024704418244
415,-9.187151821733663,-9.174343453452991
416,-9.187327322182947,-9.17466191778701
417,-9.187467176540972,-9.174979877849736
418,-9.18757735182302,-9.17529312904041
419,-9.187652217389676,-9.175602802995677
420,-9.187781463720547,-9.175911762956613
421,-9.187905649788465,-9.176214102553102
422,-9.188095785025208,-9.1765151174137
423,-9.188255256433456,-9.176814206059367
424,-9.188368200722593,-9.177107528930273
425,-9.188433720890325,-9.177399462227623
426,-9.188526853128744,-9.177687987696249
427,-9.188638549414687,-9.177974366306877
428,-9.188773099759135,-9.178255711174621
429,-9.188896886076028,-9.178531161567275
430,-9.189100739597894,-9.17880064065464
431,-9.189218656399763,-9.179066862258669
432,-9.189440176966855,-9.179330743856704
433,-9.18952551893533,-9.179592613147088
434,-9.189685380344574,-9.179853678255416
435,-9.189804564649688,-9.180110473632812
436,-9.189906354910267,-9.180363309720073
437,-9.189934688482804,-9.180613011174309
438,-9.190072592835836,-9.180859097124289
439,-9.190107497925194,-9.181100704010303
440,-9.190141428012057,-9.18133532441843
441,-9.190239396262854,-9.181565366994839
442,-9.19029914441581,-9.181790993589944
443,-9.19044523878981,-9.182015006555917
444,-9.19048367582571,-9.182236586525036
445,-9.19052517193194,-9.182451040785914
446,-9.190644512237451,-9.182660467933923
447,-9.190754297518502,-9.182866227122542
448,-9.190818257682238,-9.18307113142897
449,-9.19094259000053,-9.183274556071614
450,-9.191049430774042,-9.183472949896377
451,-9.191085271865797,-9.183669054025279
452,-9.191131935485256,-9.183865132609114
453,-9.191205021672356,-9.184056471510816
454,-9.191211417688729,-9.184244638924401
455,-9.191227524729964,-9.184429260838908
456,-9.191332610498982,-9.184613255436808
457,-9.191441654778135,-9.184794045786509
458,-9.191539623028934,-9.18497107608783
459,-9.191601501562344,-9.185145536526324
460,-9.191664447723486,-9.185319039122366
