,size,gamma,init_alpha,init_epsilon,steps,V_mean,time,score,avg_conversion_iterations
54,25,0.7,0.7,0.4,355.91999999999996,-2.021838,0.014869627952575685,-355.91999999999996,501.0
96,25,0.95,0.4,0.95,390.68,-7.9732857,0.01525899887084961,-390.68,661.0
5,25,0.01,0.9,1.0,444.91999999999996,-0.61707956,0.017985286712646487,-444.91999999999996,481.0
44,25,0.7,0.95,0.4,522.1999999999999,-2.0456212,0.020992622375488282,-522.1999999999999,501.0
22,25,0.3,0.95,0.9,530.4399999999999,-0.8824272,0.02168249607086182,-530.4399999999999,481.0
37,25,0.3,0.4,0.9,534.6199999999999,-0.86804277,0.021338791847229005,-534.6199999999999,461.0
25,25,0.3,0.9,1.0,536.24,-0.8747927,0.021659445762634278,-536.24,481.0
78,25,0.9,0.4,0.7,549.46,-5.073083,0.02277139186859131,-549.46,501.0
32,25,0.3,0.7,0.9,555.62,-0.8834044,0.02228844165802002,-555.62,481.0
119,25,0.99,0.4,0.4,576.2,-11.716994,0.02329384803771973,-576.2,961.0
13,25,0.01,0.7,0.7,616.34,-0.6186427,0.02494195461273193,-616.34,461.0
21,25,0.3,0.95,0.95,888.4000000000002,-0.87373173,0.03590004444122315,-888.4000000000002,501.0
29,25,0.3,0.9,0.4,893.0,-0.8951532,0.034510469436645506,-893.0,461.0
17,25,0.01,0.4,0.9,1169.52,-0.6034536,0.047193078994750975,-1169.52,381.0
19,25,0.01,0.4,0.4,1227.06,-0.60627985,0.04944522380828857,-1227.06,361.0
15,25,0.01,0.4,1.0,1272.46,-0.60278547,0.051275715827941895,-1272.46,381.0
6,25,0.01,0.9,0.95,1274.26,-0.6117734,0.0513755702972412,-1274.26,401.0
8,25,0.01,0.9,0.7,1328.48,-0.613194,0.05373883247375488,-1328.48,341.0
16,25,0.01,0.4,0.95,1505.1200000000001,-0.59795994,0.06072678565979004,-1505.1200000000001,341.0
10,25,0.01,0.7,1.0,1540.76,-0.592649,0.06298436164855957,-1540.76,301.0
0,25,0.01,0.95,1.0,1631.94,-0.59967166,0.06542585372924806,-1631.94,241.0
12,25,0.01,0.7,0.9,1640.44,-0.60806257,0.06641390800476074,-1640.44,361.0
18,25,0.01,0.4,0.7,1640.48,-0.5965435,0.06645477294921874,-1640.48,301.0
3,25,0.01,0.95,0.7,1655.06,-0.594773,0.06658535480499267,-1655.06,161.0
14,25,0.01,0.7,0.4,1664.78,-0.6145746,0.06729872703552246,-1664.78,261.0
2,25,0.01,0.95,0.9,1675.98,-0.6024966,0.06717684745788574,-1675.98,241.0
7,25,0.01,0.9,0.9,1758.1200000000001,-0.6017448,0.07084781646728515,-1758.1200000000001,281.0
1,25,0.01,0.95,0.95,1779.2,-0.61041033,0.07101467132568359,-1779.2,321.0
11,25,0.01,0.7,0.95,2000.0,-0.6048037,0.08137073993682861,-2000.0,281.0
9,25,0.01,0.9,0.4,2000.0,-0.6005817,0.08050003051757812,-2000.0,201.0
4,25,0.01,0.95,0.4,2000.0,-0.5923293,0.08060225486755371,-2000.0,161.0
