,size,gamma,init_alpha,init_epsilon,steps,V_mean,time,score,avg_conversion_iterations
36,24,0.3,0.4,0.95,332.12000000000006,-0.055496603,0.0011720097064971922,-28.244799999999874,4571.0
51,24,0.7,0.7,0.95,332.87,-0.095437124,0.0011896562576293945,-28.27479999999988,4681.0
58,24,0.7,0.4,0.7,333.85,-0.09654919,0.0011877894401550293,-28.3139999999999,4551.0
25,24,0.3,0.9,1.0,335.34,-0.07323329,0.0012028920650482178,-28.37359999999989,4781.0
47,24,0.7,0.9,0.9,336.4699999999999,-0.11064408,0.0011832487583160402,-28.41879999999988,4801.0
118,24,0.99,0.4,0.7,343.345,-0.21970549,0.0012258851528167726,-28.419199999999954,4521.0
46,24,0.7,0.9,0.95,337.12,-0.101348974,0.0012006831169128417,-28.44479999999989,4771.0
17,24,0.01,0.4,0.9,347.57500000000005,-0.05028562,0.0012216675281524658,-28.862999999999865,4591.0
103,24,0.99,0.95,0.7,370.63,-0.32865533,0.0013194274902343752,-29.035199999999897,4791.0
33,24,0.3,0.7,0.7,363.55,-0.082605995,0.0012951374053955078,-29.376999999999857,4691.0
42,24,0.7,0.95,0.9,360.48499999999996,-0.10944152,0.0012924528121948243,-29.379399999999855,4781.0
48,24,0.7,0.9,0.7,360.6,-0.13029444,0.001268668174743652,-29.383999999999855,4771.0
16,24,0.01,0.4,0.95,367.265,-0.046924893,0.0012895095348358153,-29.501000000000023,4501.0
26,24,0.3,0.9,0.95,364.62,-0.07214588,0.0013013970851898193,-29.544799999999903,4771.0
56,24,0.7,0.4,0.95,370.91499999999996,-0.075599656,0.0013263285160064696,-29.79659999999989,4511.0
43,24,0.7,0.95,0.7,375.92,-0.1336757,0.001331920623779297,-29.921999999999876,4771.0
108,24,0.99,0.9,0.7,378.18,-0.32050595,0.0013449740409851075,-29.937599999999957,4781.0
41,24,0.7,0.95,0.95,378.95000000000005,-0.10183789,0.001344081163406372,-30.043199999999956,4791.0
83,24,0.95,0.95,0.7,380.91,-0.24977462,0.001355934143066406,-30.071399999999876,4791.0
38,24,0.3,0.4,0.7,385.17,-0.06899978,0.0013760900497436523,-30.291999999999938,4491.0
113,24,0.99,0.7,0.7,390.14,-0.29022998,0.0014096248149871827,-30.490799999999933,4671.0
15,24,0.01,0.4,1.0,390.7699999999999,-0.04643891,0.0014356553554534912,-30.515999999999906,4571.0
